Year,Month,Day,Hour,air_temp,dni,ghi,PeriodEnd.UTC,PeriodEnd.NZ
2022,9,7,17,14,4,139,2022-09-07T05:00:00Z,2022-09-07T05:00:00Z
2022,9,7,18,14,119,49,2022-09-07T06:00:00Z,2022-09-07T06:00:00Z
2022,9,7,19,13,0,0,2022-09-07T07:00:00Z,2022-09-07T07:00:00Z
2022,9,7,20,12,0,0,2022-09-07T08:00:00Z,2022-09-07T08:00:00Z
2022,9,7,21,12,0,0,2022-09-07T09:00:00Z,2022-09-07T09:00:00Z
2022,9,7,22,12,0,0,2022-09-07T10:00:00Z,2022-09-07T10:00:00Z
2022,9,7,23,11,0,0,2022-09-07T11:00:00Z,2022-09-07T11:00:00Z
2022,9,8,0,11,0,0,2022-09-07T12:00:00Z,2022-09-07T12:00:00Z
2022,9,8,1,10,0,0,2022-09-07T13:00:00Z,2022-09-07T13:00:00Z
2022,9,8,2,10,0,0,2022-09-07T14:00:00Z,2022-09-07T14:00:00Z
2022,9,8,3,10,0,0,2022-09-07T15:00:00Z,2022-09-07T15:00:00Z
2022,9,8,4,10,0,0,2022-09-07T16:00:00Z,2022-09-07T16:00:00Z
2022,9,8,5,9,0,0,2022-09-07T17:00:00Z,2022-09-07T17:00:00Z
2022,9,8,6,9,0,0,2022-09-07T18:00:00Z,2022-09-07T18:00:00Z
2022,9,8,7,9,35,7,2022-09-07T19:00:00Z,2022-09-07T19:00:00Z
2022,9,8,8,10,546,137,2022-09-07T20:00:00Z,2022-09-07T20:00:00Z
2022,9,8,9,11,779,335,2022-09-07T21:00:00Z,2022-09-07T21:00:00Z
2022,9,8,10,12,875,515,2022-09-07T22:00:00Z,2022-09-07T22:00:00Z
2022,9,8,11,13,923,654,2022-09-07T23:00:00Z,2022-09-07T23:00:00Z
2022,9,8,12,14,924,732,2022-09-08T00:00:00Z,2022-09-08T00:00:00Z
2022,9,8,13,14,389,582,2022-09-08T01:00:00Z,2022-09-08T01:00:00Z
2022,9,8,14,14,774,671,2022-09-08T02:00:00Z,2022-09-08T02:00:00Z
2022,9,8,15,15,203,419,2022-09-08T03:00:00Z,2022-09-08T03:00:00Z
2022,9,8,16,15,740,436,2022-09-08T04:00:00Z,2022-09-08T04:00:00Z
2022,9,8,17,14,727,267,2022-09-08T05:00:00Z,2022-09-08T05:00:00Z
2022,9,8,18,14,369,76,2022-09-08T06:00:00Z,2022-09-08T06:00:00Z
2022,9,8,19,13,0,0,2022-09-08T07:00:00Z,2022-09-08T07:00:00Z
2022,9,8,20,12,0,0,2022-09-08T08:00:00Z,2022-09-08T08:00:00Z
2022,9,8,21,11,0,0,2022-09-08T09:00:00Z,2022-09-08T09:00:00Z
2022,9,8,22,11,0,0,2022-09-08T10:00:00Z,2022-09-08T10:00:00Z
2022,9,8,23,10,0,0,2022-09-08T11:00:00Z,2022-09-08T11:00:00Z
2022,9,9,0,10,0,0,2022-09-08T12:00:00Z,2022-09-08T12:00:00Z
